Year Deployed,Parks,Species,D_Sex,Deployment code,Name of individual,Brand,SAT ID,Date Deployed,Time Deployed,VHF,VHF Fine Tune,SN,GPS X,GPS Y,Vial#,Body Length,Horn Length,Neck Circ,Group Size,State,Immobility?,Reason,Reasons,Date Last Fix,Last Fix X,Last Fix Y,Date Deactivated,To deactive with AWT,In inactive collar group ER?,To Check?,Comments
2023,"Badingilo & Boma, South Sudan",Tiang,Male,,Tiang 6712,AWT,6712,20-Mar-2023,7:24, 150.070 ,,s/n 20285,5.951098,32.333138,185,156,42,45,1,Deactivated,,Natural mortality?,,16-May-2026,6.765353,32.373651,16-May-2026,,Yes,,"With herd of reedbuck,  possibly poached"
2023,"Badingilo & Boma, South Sudan",Tiang,Male,,Tiang 6713,AWT,6713,28-Mar-2023,11:40, 150.090 ,,s/n 20286,5.940557,33.918498,143,140,,40,,Deactivated,,Immobile collar for over a week. Follow-up done by helicopter pilot (06/01/2026) but nothing was found - no carcass or human signs etc. ,,13-Jan-2026,5.982224,33.85989,13-Jan-2026,,Yes,,
2023,"Badingilo & Boma, South Sudan",Tiang,Male,,Tiang 6714,AWT,6714,20-Mar-2023,12:27, 150.110 ,,s/n 20287,5.483072,32.142100,174,163,42,47,4,Deactivated,,Natural mortality?,,23-Mar-2026,5.185935,32.182844°,23-Mar-2026,,Yes,,2 Females + 2 small calves
2023,"Badingilo & Boma, South Sudan",Tiang,Male,,Tiang 6715,AWT,6715,27-Mar-2023,8:52, 150.150 ,,s/n 20288,6.099463,33.520072,122,169,,44.5,,Deactivated,,,,,5.683211667,32.666905,16-Nov-2023,,Yes,,Ceres tag 2207B0736
2023,"Badingilo & Boma, South Sudan",Tiang,Male,,Tiang 6716,AWT,6716,23-Mar-2023,8:56, 150.200 ,,s/n 20289,06.08961,32.21692,196,,,,100k+,Deactivated,,Possibly poached,,,7.455731,32.240914,12-Dec-2025,,Yes,,
2023,"Badingilo & Boma, South Sudan",Mongalla Gazelle,Male,,Mongalla Gazelle 6721,AWT,6721,17-Mar-2023,7:08, 150.400 ,,s/n 20294,05.458640,32.264556,167,117,27,33,10-20,Deactivated,,,,,,,20-Nov-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",Mongalla Gazelle,Male,,Mongalla Gazelle 6722,AWT,6722,18-Mar-2023,11:54, 150.420 ,,s/n 20295,5.443580,32.216503,120,111,25,32,,Deactivated,,,,,,,13-Sep-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",Mongalla Gazelle,Male,,Mongalla Gazelle 6723,AWT,6723,24-Mar-2023,8:00, 150.440 ,,s/n 20296,06.82958,34.08070,95,115,26,35,,Deactivated,,,,,,,20-Oct-2023,,Yes,,Shoulder 60; Hip 72
2023,"Badingilo & Boma, South Sudan",Mongalla Gazelle,Male,,Mongalla Gazelle 6724,AWT,6724,25-Mar-2023,7:19, 150.470 ,,s/n 20297,06.15219,33. 62089,135,,,31.5,,Deactivated,,Natural mortality?,,22-Mar-2026,5.991219,33.749549,23-Mar-2026,,Yes,,
2023,"Badingilo & Boma, South Sudan",Mongalla Gazelle,Male,,Mongalla Gazelle 6726(not in er),AWT,6726,18-Mar-2023,13:31, 150.520 ,,s/n 20299,5.549974,32.334010,189,95,10,24,,Deactivated,,Battery failure,,25-Aug-2025,5.350506,33.195815,4-Sep-2025,,Yes,,
